ZIP,PARK,BASEBALL_J,BASEBALL_S,SUM
60659,STONE (BERNARD L.),0,0,
60621,PARK NO. 527,0,0,
60629,PARK NO. 528,1,2,
60647,PARK NO. 529,0,0,
60608,DALEY (RICHARD J.),0,0,
60608,PALMISANO (HENRY),0,0,
60605,PRINTERS ROW,0,0,
60653,"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",0,0,
60646,NORTH PARK NATURE CENTER,0,0,
60623,PARK NO. 534,0,0,
60614,PARK NO. 535,0,0,
60622,PARK NO. 536,0,0,
60661,HERITAGE GREEN,0,0,
60645,PARK NO. 538,0,2,
60647,PALMER SQUARE,0,0,
60616,PARK NO. 540,1,0,
60604,PRITZKER,0,0,
60602,BARTELME (MARY),0,0,
60657,KLEIN (LOIS),0,0,
60611,PARK NO. 546,0,0,
60616,BATTLE OF FORT DEARBORN,0,0,
,MAJOR TAYLOR BIKE TRAIL,0,0,
60647,LOGAN SQUARE SKATE PARK,0,0,
60616,CHICAGO WOMEN'S PARK AND GARDENS,0,0,
60661,PARK NO. 551,0,0,
60641,PARK NO. 552,0,0,
60608,LA VILLITA,1,1,
60614,ADAMS (GEORGE & ADELE),0,0,
60647,DE BURGOS (JULIA),0,0,
60626,SAUGANASH TRAIL,0,0,
60647,PARK NO. 556,0,0,
60645,NORTH BOUNDARY,0,0,
60643,KING (PATRICK)-LOCKHART (ANTHONY),0,0,
60660,PARK NO. 559,0,0,
60654,WHITE (JESSE),0,0,
60616,ANDERSON (FRED),0,0,
60643,BYRNES (MARIAN),0,0,
60633,HEGEWISCH MARSH,0,0,
60617,BIG MARSH,0,0,
60617,PARK NO. 566,0,0,
60647,PARK NO. 567,0,0,
60659,WEST RIDGE NATURE PARK,0,0,
60607,PARK NO. 569,0,0,
60657,DONAHUE (MARGARET),0,0,
60608,PARK NO. 571,0,0,
60628,PARK NO. 573,0,0,
60612,PARK NO. 574,0,0,
60633,PARK NO. 576,0,0,
60614,TREBES,1,0,
60643,MORGAN PARK SPORTS CENTER,0,0,
60612,PARK NO. 578,0,0,
60634,PARK NO. 580,0,0,
60643,PARK NO. 581,0,0,
60649,RAINBOW BEACH,3,1,
60640,CLARENDON COMM. CTR.,3,1,
60647,BEILFUSS (ALBERT W.),1,0,
60621,SHERWOOD (JESSE),2,0,
60617,BRADLEY (JOSEPHINE),2,0,
60628,BLOCK (EUGENE H.),0,0,
60622,COMMERCIAL CLUB PGD. of CHICAGO,1,0,
60636,HERMITAGE,1,0,
60615,KENWOOD COMM.,2,2,
60638,LAWLER (MICHAEL),2,0,
60620,O'HALLAREN (BERNARD),3,0,
60626,LEONE (SAM) BEACH,0,0,
60612,SMITH (JOSEPH HIGGINS),2,1,
60632,STROHACKER (HOWARD),2,0,
60653,ANDERSON (LOUIS),0,0,
60651,AUGUSTA (CARPENTER),0,0,
60608,BARRETT (JOHN),0,0,
60608,BOSLEY (WILLIAM),2,0,
60609,DONOVAN (GEORGE),0,2,
60608,FOSCO (PETER),0,0,
60609,"TAYLOR-LAURIDSEN (JOHN, EMIL)",1,1,
60644,CLARK (JOHN),1,0,
60622,DEAN (JOHN),0,0,
60609,MICEK (FRANK),0,0,
60625,GROSS (THEODORE),0,0,
60647,HAAS (JOSEPH),0,0,
60615,HARDING (GEORGE),0,0,
60612,HORAN (ALBERT),1,0,
60608,HOYNE (THOMAS),1,0,
60610,DURSO (JOHN),0,0,
60646,INDIAN ROAD,1,0,
60651,KEDVALE,0,0,
60624,KELLS (GEORGE),1,0,
60639,DEGEORGE (BERNICE),0,0,
60628,KENSINGTON,1,1,
60641,KEN-WELL,2,0,
60626,WHITE (WILLYE B.),1,0,
60609,LOWE (SAMUEL),1,1,
60647,MAPLEWOOD,1,0,
60620,MARSHFIELD,0,0,
60607,GARIBALDI (GIUSEPPI),0,0,
60621,MEMORIAL,1,0,
60619,MEYERING (WILLIAM),1,0,
60644,MOORE (MAURICE),1,0,
60621,MORAN (TERRANCE),0,0,
60655,MUNROE,3,0,
60636,MURRAY (DAVID),1,1,
60638,NORMANDY,1,0,
60609,LITTLE VENICE,0,0,
60618,PARK-VIEW,0,0,
60626,PASCHEN (CHRISTIAN),0,0,
60617,PIETROWSKI (SYLVESTER),0,0,
60655,MCKIERNAN (DAVID),2,0,
60626,SCHREIBER,0,0,
60608,"KUCINSKI-MURPHY (VICKI, ROSEBETH)",0,0,
